smart_5_raw,smart_9_raw,smart_10_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_192_raw,smart_197_raw,smart_198_raw,failure,serial_number
0.0,18636.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,S301NYEV
0.0,37417.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0,Z300PABB
0.0,37408.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,Z300KFP1
0.0,22507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z302ALB7
0.0,17638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z30576J2
0.0,36880.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,Z300X8B1
0.0,20380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z302T6H6
0.0,19496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301GML1
0.0,31852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z3015JRG
0.0,16172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305KB3Y
0.0,21303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301GMLL
0.0,26163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z302BS8M
0.0,20399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301GMLG
0.0,18635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z303ZLN0
0.0,16174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305KB36
0.0,16653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305KB37
0.0,20863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301GMLY
0.0,20379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z302T6HP
0.0,27238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,W300MA9F
0.0,28556.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,Z30240QK
0.0,6418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305E8LA
0.0,40015.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,W300DBAL
0.0,34618.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0,Z3011WWR
0.0,20403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z302SSEG
0.0,20019.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,Z304JKQW
0.0,18338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z3055YPL
0.0,18530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301PVNF
0.0,19462.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,Z304GH4N
